0,0.00052882
0.01,0.0010576
0.02,0.0021329
0.03,0.0026794
0.04,0.0032082
0.05,0.0068078
0.06,0.0078665
0.07,0.0078665
0.08,0.010513
0.09,0.011025
0.1,0.013626
0.11,0.014637
0.12,0.015166
0.13,0.015663
0.14,0.018292
0.15,0.020903
0.16,0.023003
0.17,0.02456
0.18,0.025619
0.19,0.028217
0.2,0.028686
0.21,0.029232
0.22,0.03181
0.23,0.032804
0.24,0.034891
0.25,0.037007
0.26,0.039141
0.27,0.040167
0.28,0.041694
0.29,0.042688
0.3,0.044788
0.31,0.047319
0.32,0.048845
0.33,0.050389
0.34,0.053504
0.35,0.056695
0.36,0.059776
0.37,0.062918
0.38,0.065069
0.39,0.069227
0.4,0.072338
0.41,0.072338
0.42,0.076927
0.43,0.081103
0.44,0.085745
0.45,0.086754
0.46,0.089453
0.47,0.095555
0.48,0.099099
0.49,0.10276
0.5,0.10627
0.51,0.11304
0.52,0.1187
0.53,0.12606
0.54,0.13421
0.55,0.13873
0.56,0.14345
0.57,0.14925
0.58,0.15126
0.59,0.15733
0.6,0.16357
0.61,0.16672
0.62,0.17177
0.63,0.17683
0.64,0.18468
0.65,0.18936
0.66,0.1966
0.67,0.20571
0.68,0.2123
0.69,0.21853
0.7,0.22627
0.71,0.23203
0.72,0.24038
0.73,0.24864
0.74,0.25738
0.75,0.26649
0.76,0.27059
0.77,0.28344
0.78,0.2906
0.79,0.2994
0.8,0.31612
0.81,0.33016
0.82,0.34561
0.83,0.36372
0.84,0.38076
0.85,0.39483
0.86,0.4077
0.87,0.42703
0.88,0.44324
0.89,0.45854
0.9,0.47852
0.91,0.498
0.92,0.52024
0.93,0.54173
0.94,0.57313
0.95,0.60204
0.96,0.63337
0.97,0.68503
0.98,0.73285
0.99,0.81178
1,0.97503
