user_id,sentence_id,speed,overlaps_0,overlaps_1,overlaps_2,overlaps_3,overlaps_4,key_press_ms_avg,key_press_ms_sd,space_length_ms_avg,space_length_ms_sd,backspaces_deletes
user_119,ks_02,4.706095298429793,0.2028985507246377,0.2898550724637681,0.00966183574879227,0,0,127.46601941747574,34.35588035872351,80.754901960784309,222.57034297949488,0.01932367149758454
user_119,ks_10,3.6919459141681363,0.24203821656050956,0.23885350318471338,0.01910828025477707,0,0,128.85897435897436,37.177234679777357,136.52903225806452,315.50764644233203,0.044585987261146494
user_119,ks_08,5.29253669629936,0.23046875,0.234375,0.03515625,0,0,130.14960629921259,36.124473947107326,47.444444444444443,178.46766438501001,0.0859375
user_119,ks_12,4.474971380996982,0.2558139534883721,0.22093023255813954,0.023255813953488372,0,0,124.16470588235295,36.756383057936077,83.154761904761898,244.88926039799426,0.09302325581395349
user_119,ks_07,3.6475869809203143,0.26018099547511314,0.22850678733031674,0.011312217194570135,0,0,134.46363636363637,46.387827022482618,101.70776255707763,257.79191722810964,0.07692307692307693
user_119,invalid-ks_06,4.917617237008872,0.27319587628865977,0.22164948453608246,0.005154639175257732,0,0,116.75,35.996816988913523,77.557894736842101,183.67773356096865,0.12371134020618557
user_119,ks_06,4.512380844943314,0.28125,0.20625,0.0125,0,0,125.925,32.920652712241292,96.898734177215189,211.46514779645108,0.05
user_119,invalid-ks_01,4.647691420429488,0.2600732600732601,0.2271062271062271,0.014652014652014652,0,0,130.875,36.666308766078593,80.918518518518525,234.17616198547975,0.15384615384615385
user_119,invalid-ks_00,5.396812115634021,0.2596899224806202,0.2248062015503876,0.015503875968992248,0,0,129.328125,39.019047707297716,50.393700787401578,155.6372299994276,0.13953488372093023
user_119,ks_14,3.3961196188799097,0.24537037037037038,0.2361111111111111,0.018518518518518517,0,0,139.85981308411215,45.917123350526794,146.18867924528303,346.13734086308148,0.09259259259259259
user_119,ks_01,5.135663318638367,0.25333333333333335,0.24,0.008888888888888889,0,0,125.94642857142857,32.391257441993041,63.63963963963964,203.73661644179089,0.08
user_119,ks_00,4.981000308103112,0.23076923076923078,0.24615384615384617,0.020512820512820513,0,0,134.48453608247422,32.408193377302858,61.802083333333336,197.81576128389364,0.020512820512820513
user_155,ks_08,4.428991266194793,0.41784037558685444,0.08450704225352113,0,0,0,106.49056603773585,29.729994155899021,121.05714285714286,199.42865193067007,0.009389671361502348
user_155,ks_12,4.0800136000453335,0.41379310344827586,0.08275862068965517,0,0,0,155.91549295774647,416.12754499507747,75.442857142857136,124.0992270856886,0.0
user_155,ks_09,3.2775064730752845,0.005,0.455,0.04,0,0,111.8080808080808,120.85776570274717,163.4591836734694,277.07842286194017,0.03
user_155,ks_13,4.02224281742354,0.45958429561200925,0.04157043879907621,0,0,0,102.65277777777777,28.495691546765361,146.08837209302325,236.93091251808457,0.09699769053117784
user_155,ks_10,3.5819586247228243,0.42857142857142855,0.07142857142857142,0,0,0,107.63013698630137,33.144146304103387,169.68965517241378,320.5087661879615,0.013605442176870748
user_155,invalid-ks_03,3.932996896249437,0.4144144144144144,0.08408408408408409,0,0,0,98.915662650602414,26.782121720244692,151.82424242424241,283.65187693913248,0.11411411411411411
user_155,ks_03,4.052941548983598,0.4453125,0.0546875,0,0,0,102.796875,24.864746434145975,145.0708661417323,319.60928856995798,0.0078125
user_155,ks_06,4.228006724058886,0.4303030303030303,0.07272727272727272,0,0,0,99.329268292682926,29.560625953820356,137.65432098765433,216.13119932308533,0.06060606060606061
user_155,invalid-ks_04,1.593559364236212,0.3834808259587021,0.0471976401179941,0,0,0,230.61986301369862,1910.5198503670561,594.73883161512026,7063.7666193577825,0.17994100294985252
user_155,ks_11,3.991460131811009,0.43190661478599224,0.07003891050583658,0,0,0,105.60629921259843,27.094514504331542,129.99206349206349,200.835852425685,0.0311284046692607
user_155,ks_04,4.213073975304216,0.4363143631436314,0.05420054200542006,0,0,0,109.20994475138122,52.485410869503475,138.0888888888889,217.50750405672824,0.051490514905149054
user_155,ks_07,4.14990472157527,0.4322250639386189,0.06905370843989769,0,0,0,109.30256410256411,28.843623364792322,128.23195876288659,207.54019064078841,0.02557544757033248
user_155,ks_14,3.71888602459536,0.42045454545454547,0.07954545454545454,0,0,0,111.33333333333333,29.35422453556372,133.51162790697674,235.77777003257958,0.0
user_155,invalid-ks_05,4.13686944809672,0.4032258064516129,0.07258064516129033,0,0,0,122.38983050847457,77.205650304587962,139.39316239316238,218.34779585158887,0.10080645161290322
user_155,ks_05,4.340466166066236,0.44,0.06,0,0,0,112.65000000000001,51.125409533812046,118.92929292929293,221.98945522892157,0.04
user_155,ks_02,3.4096993265139344,0.45228215767634855,0.04979253112033195,0,0,0,112.675,31.344633379043799,168.05042016806723,300.33482292462855,0.07468879668049792
user_155,ks_01,4.4459791945439635,0.46601941747572817,0.03398058252427184,0,0,0,106.15686274509804,26.970116032102691,114.56435643564356,140.37526903012116,0.038834951456310676
user_155,ks_00,4.896907216494845,0.4253393665158371,0.05429864253393665,0,0,0,116.4622641509434,68.606091171389565,96.828571428571422,149.4084498880809,0.06334841628959276
user_155,invalid-cm_10,2.12342402123424,0.4838709677419355,0.03225806451612903,0,0,0,130.19999999999999,45.185838489509074,383.85714285714283,412.50815700036372,0.0
user_155,cm_14,1.9191226867717615,0.5,0,0,0,0,97.230769230769226,21.191993575781783,354.58333333333331,261.51114008563553,0.14285714285714285
user_155,cm_08,3.446691176470588,0.43333333333333335,0.06666666666666667,0,0,0,116.5,46.440053525255237,109.61538461538461,128.70092848959109,0.0
user_155,cm_01,2.2761760242792106,0.5,0,0,0,0,92.799999999999997,11.973303637676612,228.0,239.0313786932586,0.0
user_155,cm_09,1.8359853121175032,0.4230769230769231,0.038461538461538464,0,0,0,125.5,45.48351349665063,254.54545454545453,219.323075781478,0.07692307692307693
user_155,cm_03,2.9661450342640894,0.43859649122807015,0.07017543859649122,0,0,0,134.39285714285714,93.438803229598321,207.2962962962963,315.82799055168022,0.03508771929824561
user_155,cm_13,3.1474820143884887,0.5,0,0,0,0,98.666666666666671,31.212533095252336,92.799999999999997,31.025151087464508,0.0
user_155,cm_06,3.0940594059405937,0.5,0,0,0,0,92.0,6.9282032302755088,133.33333333333334,54.389541478323039,0.0
